Wavelength (nm),Intensity
4.179104614257812500e+02,1.028020858764648438e+02
4.181194152832031250e+02,1.028541641235351562e+02
4.183283691406250000e+02,7.191666412353515625e+01
4.185373229980468750e+02,7.200000000000000000e+01
4.187462768554687500e+02,7.191666412353515625e+01
4.189552307128906250e+02,7.233333587646484375e+01
4.191641845703125000e+02,7.282291412353515625e+01
4.193731384277343750e+02,7.298958587646484375e+01
4.195820922851562500e+02,7.308333587646484375e+01
4.197910461425781250e+02,7.316666412353515625e+01
4.200000000000000000e+02,7.333333587646484375e+01
4.202089538574218750e+02,7.366666412353515625e+01
4.204179077148437500e+02,7.383333587646484375e+01
4.206268615722656250e+02,7.416666412353515625e+01
4.208358154296875000e+02,6.116666793823242188e+01
4.210447692871093750e+02,6.116666793823242188e+01
4.212537231445312500e+02,6.190625000000000000e+01
4.214626770019531250e+02,6.190625000000000000e+01
4.216716308593750000e+02,6.190625000000000000e+01
4.218805847167968750e+02,6.190625000000000000e+01
4.220895385742187500e+02,6.190625000000000000e+01
4.222984924316406250e+02,6.190625000000000000e+01
4.225074768066406250e+02,6.190625000000000000e+01
4.227164306640625000e+02,6.190625000000000000e+01
4.229253845214843750e+02,5.000000000000000000e+01
4.231343383789062500e+02,5.000000000000000000e+01
4.233432922363281250e+02,5.000000000000000000e+01
4.235522460937500000e+02,5.000000000000000000e+01
4.237611999511718750e+02,5.000000000000000000e+01
4.239701538085937500e+02,5.000000000000000000e+01
4.241791076660156250e+02,5.000000000000000000e+01
4.243880615234375000e+02,5.000000000000000000e+01
4.245970153808593750e+02,4.362500000000000000e+01
4.248059692382812500e+02,4.362500000000000000e+01
4.250149230957031250e+02,4.362500000000000000e+01
4.252238769531250000e+02,4.362500000000000000e+01
4.254328308105468750e+02,4.362500000000000000e+01
4.256417846679687500e+02,4.362500000000000000e+01
4.258507385253906250e+02,4.362500000000000000e+01
4.260596923828125000e+02,4.362500000000000000e+01
4.262686462402343750e+02,2.927083396911621094e+01
4.264776000976562500e+02,2.617708396911621094e+01
4.266865539550781250e+02,2.544791603088378906e+01
4.268955078125000000e+02,2.466666603088378906e+01
4.271044921875000000e+02,2.466666603088378906e+01
4.273134460449218750e+02,2.466666603088378906e+01
4.275223999023437500e+02,2.466666603088378906e+01
4.277313537597656250e+02,2.466666603088378906e+01
4.279403076171875000e+02,1.925000000000000000e+01
4.281492614746093750e+02,1.925000000000000000e+01
4.283582153320312500e+02,1.925000000000000000e+01
4.285671691894531250e+02,1.925000000000000000e+01
4.287761230468750000e+02,1.925000000000000000e+01
4.289850769042968750e+02,1.925000000000000000e+01
4.291940307617187500e+02,1.925000000000000000e+01
4.294029846191406250e+02,1.925000000000000000e+01
4.296119384765625000e+02,1.925000000000000000e+01
4.298208923339843750e+02,1.925000000000000000e+01
4.300298461914062500e+02,1.925000000000000000e+01
4.302388000488281250e+02,1.925000000000000000e+01
4.304477539062500000e+02,2.566666603088378906e+01
4.306567077636718750e+02,2.550000000000000000e+01
4.308656616210937500e+02,2.541666603088378906e+01
4.310746154785156250e+02,2.533333396911621094e+01
4.312835693359375000e+02,2.754166603088378906e+01
4.314925231933593750e+02,2.754166603088378906e+01
4.317015075683593750e+02,2.754166603088378906e+01
4.319104614257812500e+02,2.754166603088378906e+01
4.321194152832031250e+02,2.754166603088378906e+01
4.323283691406250000e+02,2.754166603088378906e+01
4.325373229980468750e+02,2.754166603088378906e+01
4.327462768554687500e+02,2.754166603088378906e+01
4.329552307128906250e+02,2.833333396911621094e+01
4.331641845703125000e+02,2.833333396911621094e+01
4.333731384277343750e+02,2.833333396911621094e+01
4.335820922851562500e+02,2.833333396911621094e+01
4.337910461425781250e+02,2.833333396911621094e+01
4.340000000000000000e+02,2.833333396911621094e+01
4.342089538574218750e+02,2.833333396911621094e+01
4.344179077148437500e+02,2.833333396911621094e+01
4.346268615722656250e+02,5.863541793823242188e+01
4.348358154296875000e+02,5.855208206176757812e+01
